"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"ITH1","ITA59","ITA","Provincia Autonoma di Bolzano/Bozen","Province of Bolzano-Bozen","Province de Bolzano-Bozen","f","Bolzano-Bozen",TRUE,TRUE,TRUE
"ITH2","ITA59","ITA","Provincia Autonoma di Trento","Province of Trento","Province de Trente","f","Trento",TRUE,TRUE,TRUE
"ITH3","ITA59","ITA","Veneto","Veneto","Veneto","f","Veneto",TRUE,TRUE,TRUE
"ITH4","ITA59","ITA","Friuli-Venezia Giulia","Friuli-Venezia Giulia","Frioul-Vénétie julienne","f","Friuli-Venezia Giulia",TRUE,TRUE,TRUE
"ITH5","ITA59","ITA","Emilia-Romagna","Emilia-Romagna","Émilie-Romagne","f","Emilia-Romagna",TRUE,TRUE,TRUE
"ITI1","ITA59","ITA","Toscana","Tuscany","Toscane","f","Tuscany",TRUE,TRUE,TRUE
"ITI2","ITA59","ITA","Umbria","Umbria","Ombrie","f","Umbria",TRUE,TRUE,TRUE
"ITI3","ITA59","ITA","Marche","Marche","Marche","f","Marche",TRUE,TRUE,TRUE
"ITI4","ITA59","ITA","Lazio","Lazio","Lazio","f","Lazio",TRUE,TRUE,TRUE
"JPA","JPN80","JPN","Hokkaido","Hokkaido","Hokkaido","t","Hokkaido",FALSE,FALSE,FALSE
"JPB","JPN80","JPN","Tohoku","Tohoku","Tohoku","t","Tohoku",FALSE,FALSE,FALSE
"JPC","JPN80","JPN","Northern-Kanto, Koshin","Northern-Kanto, Koshin","Northern-Kanto, Koshin","t","N.-Kanto, Koshin",FALSE,FALSE,FALSE
